Estimate,Date,Customer Tags,City,Zip,Description,Amount,Labor,Materials,Subtotal,Job Tags,Job Status,Bid Employee,Crew,Job Type
8952,,,Boulder,80303,Exterior Residential Painting - Exterior Preparation,4925,3950,975,4925,,Awaiting Approval,1,,
8968,2/22/2019 11:30,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,3690,2800,890,3690,My Website,Awaiting Approval,1,,
8964,2/20/2019 15:30,Repeat,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4525,3565,960,4525,"My Website,Exterior",approved,1,,
8966-1,2/21/2019 8:30,noreview,AURORA,80016,Exterior Residential Painting - Exterior Preparation,4660,3700,960,4660,My Website,approved,1,,
8955,,Referral,Parker,80134,Exterior Residential Painting - Exterior Preparation,3700,2920,780,3700,Exterior,approved,1,,
8956-1,4/6/2020 10:15,no review,Aurora,80016,Exterior Residential Painting - Exterior Preparation,3830,3025,965,3990,,pro approved,1,1,
8956-2,4/7/2020 9:45,no review,Aurora,80016,Main Level,5975,4995,980,5975,,approved,1,1,
8957,,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,3560,2720,840,3560,,Awaiting Approval,1,,
8967-1,2/21/2019 9:30,,Denver,80224,Family Room-Ceiing,1355,1355,0,1355,My Website,approved,1,,
8958,2/18/2019 13:30,Repeat,Parker,80138,Estimate Basement remodel,0,0,0,0,,pro declined,1,,
8959,2/18/2019 14:00,Repeat,Thornton,80602,"Painting quotes - Cabinet Painting: Fresh new staining, painting or replacement",0,0,0,0,,SCHEDULED,1,,
8969,2/22/2019 15:30,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,2515,2075,440,2515,My Website,approved,1,,
8960,,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5875,4955,920,5875,,approved,1,,
8961,,Repeat,Parker,80138,Basement-Prime Appx 1680 Sq Ft,8960,8960,0,8960,,pro declined,1,,
8962,,,Parker,80134,Handrail,12410,11110,1300,12410,,pro declined,1,,
8981-1,2/27/2019 13:30,,Denver,80210,Living Room and Dining Room,4278,3660,625,4285,My Website,approved,1,,
8963,,,Centennial,80015,Main Handrail System,4980,4000,980,4980,,Awaiting Approval,1,,
8979,2/25/2019 9:30,,Aurora,80016,Master Suite,870,870,0,870,My Website,approved,1,,
8965,2/25/2019 14:00,"Stapleton,interior",Denver,80238,Painting quotes - Interior Painting: Crisp and Clean!,0,0,0,0,interior,SCHEDULED,1,,
8966-2,2/21/2019 8:30,noreview,AURORA,80016,Family Room,895,895,0,895,,Awaiting Approval,1,,
8967-2,2/21/2019 9:30,,Denver,80224,Main Level Trim,1305,1005,300,1305,,approved,1,,
8970,,80016,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4725,3745,980,4725,,Awaiting Approval,1,,
8977,3/1/2019 10:30,,Parker,80134,Exterior Residential Painting - Exterior Preparation,3895,3115,780,3895,My Website,approved,1,,
8971,,"Stapleton,interior",Denver,80238,Interior Walls - Main ,5070,4280,790,5070,,pro declined,1,,
8972,,,Aurora,80016,Kitchen Shutters,1100,1100,0,1100,,approved,1,,
8973,,,Littleton,80124,Basement-Prime,4600,3740,860,4600,,approved,1,,
8974-1,,,Castle Rock,80104,Exterior Residential Painting - Exterior Preparation,3660,2865,795,3660,,approved,1,,
8974-2,,,Castle Rock,80104,Interior Bedroom,420,420,0,420,,Awaiting Approval,1,,
8975,,,Denver,80210,Exterior Residential Painting - Exterior Preparation,4130,3320,810,4130,,Awaiting Approval,1,,
8994,3/8/2019 10:30,,Denver,80230,"Entry, Living Room and Stairway to Basement",5255,4545,710,5255,"My Website,interior",approved,1,,
8976,,,,,Ceiling,1480,1480,0,1480,,Awaiting Approval,1,,
8985,3/4/2019 9:30,,centennial,80015,Exterior Residential Painting - Exterior Preparation,3550,2735,815,3550,My Website,Awaiting Approval,1,,
8986,3/4/2019 10:30,,Centennial,80015,Handrail,785,720,65,785,My Website,approved,1,,
8983,3/4/2019 15:30,,Aurora,80014,Interior-Walls,2110,2110,0,2110,My Website,pro declined,1,,
8993,3/7/2019 9:30,,Centennial,80016,Exterior Residential Painting - Exterior Preparation,4990,4055,935,4990,"My Website,Exterior",approved,1,,
8990,3/4/2019 11:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,3765,2825,940,3765,My Website,approved,1,,
8980,,,Denver,80230,Son's Bedroom,2995,2495,500,2995,,approved,1,,
8981-2,2/27/2019 13:30,,Denver,80210,Kitchen Cabinets-Preperation,2865,2865,0,2865,,pro approved,1,,
8992,3/7/2019 8:30,,Lakewood,80228,Entry and Family Room Hallways,6500,5580,920,6500,My Website,approved,1,,
8982,,repeat customer,Aurora,80017,Ceiling Scraping,4760,3660,1100,4760,,approved,1,,
8984,,,Aurora,80016,Interior Ceilings,4815,4130,685,4815,,approved,1,,
8987,,,Parker,80134,"Walls-Entry, Family Room, Kitchen, Mid Room, Stairways, Hallways and Loft",6590,5270,1320,6590,,pro declined,1,,
8989,3/8/2019 8:30,,Centennial,80015,Popcorn Scrape,7540,6035,1505,7540,,Awaiting Approval,1,,
8996,3/12/2019 11:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,3300,2420,880,3300,My Website,Awaiting Approval,1,,
8995,,,Denver,80209,Trim: Main Level,2350,2350,0,2350,,approved,1,,
8997,3/18/2019 16:00,,,,Custom Services - Custom Job,0,0,0,0,,SCHEDULED,1,,
8998,,"noreview,no review",Centennial,80015,Bedrooms,3030,3030,0,3030,,approved,1,,
9073,4/5/2019 11:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,6165,4915,1250,6165,My Website,Awaiting Approval,1,,
8999,,,Denver,80238,Exterior Residential Painting - Exterior Preparation,3785,2875,910,3785,,approved,1,,
9026,4/2/2019 9:30,,CENTENNIAL,80112,Kitchen Cabinets,2490,2150,340,2490,My Website,declined,1,,
9025,4/1/2019 14:30,,Centennial,80122,Main Level Wall Paint,4005,3455,550,4005,My Website,pro approved,1,,
9016,4/1/2019 9:30,,Englewood,80113,Exterior Residential Painting - Exterior Preparation,3625,2760,865,3625,My Website,pro approved,1,,
9001,,,Aurora,80014,Walls Stairway Dining Area,520,520,0,520,,pro declined,1,,
9002,,,Parker,80134,Exterior Residential Painting - Exterior Preparation,3850,2985,865,3850,,approved,1,,
9003,,,Denver,80238,Interior Painting,8208,6720,1488,8208,,pro approved,1,,
9004,,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4505,3590,915,4505,,pro declined,1,,
9024,3/27/2019 9:30,,Centennial,80015,Kitchen Cabinets,2725,2465,260,2725,My Website,approved,1,,
9005,,,Denver,80238,Ceilings,2185,1805,380,2185,,pro declined,1,,
9006,,,Denver,80209,,0,0,0,0,,UNSCHEDULED,1,,
9007,,,Denver,80209,Painting quotes - Interior Painting: Crisp and Clean!,2345,2345,0,2345,,approved,1,,
9008,,,Commerce City,80022,Exterior Residential Painting - Exterior Preparation,3605,2725,880,3605,,pro declined,1,,
9038,4/1/2019 14:30,,Aurora,80016,Exterior Wood Beams,1485,1485,0,1485,My Website,approved,1,,
9009,,,Denver,80238,Kitchen Cabinets,4820,4820,0,4820,,approved,1,,
9033,4/9/2019 9:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,4580,3555,1025,4580,My Website,Awaiting Approval,1,,
9020,4/2/2019 9:30,,Highlands Ranch,80130,Exterior Residential Painting - Exterior Preparation,3650,2860,790,3650,My Website,pro approved,1,,
9010-1,,,Commerce City,80022,Main Level Walls,2380,1745,635,2380,,pro declined,1,,
9012,,,Lakewood,80228,Interior Painting,2690,2245,445,2690,,pro approved,1,,
9013,,,Aurora ,80015,Exterior Trim,3835,3575,260,3835,,approved,1,,
9014,,,Aurora,80016,New Wainscot,4975,4295,680,4975,,pro declined,1,,
9039,4/2/2019 15:30,,Denver,80238,Column Demo,5555,4915,640,5555,My Website,Awaiting Approval,1,,
9021,4/2/2019 14:30,,DENVER,80238,Exterior Residential Painting - Exterior Preparation,6100,4860,1240,6100,My Website,pro approved,1,,
9022,4/16/2019 8:00,,Aurora,80016,Master Suite,1135,815,320,1135,My Website,approved,1,1,
9015,4/3/2019 11:00,"Exterior,interior,Repeat",Parker,80138,Interior Painting,8225,6740,1485,8225,,pro approved,1,,
9041,4/10/2019 14:00,,Denver,80202,Exterior Residential Painting - Exterior Preparation,5735,4465,1270,5735,My Website,approved,1,,
9023-1,4/3/2019 10:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4315,3355,960,4315,My Website,approved,1,,
9017,4/2/2019 16:15,Exterior,Denver,80238,Exterior Residential Painting - Exterior Preparation,6090,5050,1240,6290,,pro approved,1,,
9018,4/2/2019 15:15,Stapleton,Denver,80238,Exterior Residential Painting - Exterior Preparation,5780,4780,1200,5980,Exterior,approved,1,,
9019,4/4/2019 13:00,Exterior,Platteville,80651,Beams and Ceiling,26940,21600,5340,26940,,Awaiting Approval,1,,
9023-2,4/3/2019 10:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4815,3835,980,4815,,approved,1,,
9031,4/8/2019 9:00,,Centennial,80111,Exterior Residential Painting - Exterior Preparation,4640,3590,1050,4640,My Website,approved,1,,
9057,4/10/2019 9:30,,Denver,80223,Exterior Residential Painting - Exterior Preparation,32580,26580,6000,32580,My Website,Awaiting Approval,1,,
9049,4/12/2019 11:30,,Parker,80134,Interior Painting,4517.25,4060,695,4755,My Website,Awaiting Approval,1,,
9034,4/9/2019 9:30,,Aurora,80013,Exterior Residential Painting - Exterior Preparation,5489,4565,924,5489,My Website,approved,1,,
9035,4/9/2019 14:30,"Stapleton,80238,Exterior",Denver,80238,Exterior Residential Painting - Exterior Preparation,5960,4620,1340,5960,"My Website,Exterior",approved,1,,
9040,4/10/2019 9:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,6100,4895,1205,6100,My Website,approved,1,,
9032,4/8/2019 11:30,,Denver,80238,Cabinet Painting - Kitchen and Butler Pantry,3367,3020,347,3367,My Website,Awaiting Approval,1,,
9027,,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,3520,2640,880,3520,,approved,1,,
9029,,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,4240,3360,880,4240,,approved,1,,
9045,4/11/2019 16:30,,Parker,80134,Exterior Residential Painting - Exterior Preparation,6615,5260,1355,6615,My Website,approved,1,,
9063,4/19/2019 10:30,,Highlands Ranch,80129,Interior Painting,4745,4060,685,4745,My Website,approved,1,,
9055,4/12/2019 14:30,,Denver,80205,Exterior Residential Painting - Exterior Preparation,11505,9825,1680,11505,My Website,approved,1,,
9054,4/15/2019 9:00,,Denver,80238,Stain fence,2060,1645,415,2060,My Website,approved,1,,
9030,4/17/2019 17:30,,Aurora,80018,Exterior Painting,0,0,0,0,,SCHEDULED,1,,
9036,4/10/2019 13:30,Stapleton,Denver,80238,Handrail,2990,2455,535,2990,"cabinets,interior",Awaiting Approval,1,,
9044-1,4/11/2019 14:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5845,4655,1390,6045,My Website,pro declined,1,,
9048,4/12/2019 9:30,,DENVER,80230,Kitchen Cabinets,5078,4515,563,5078,My Website,Awaiting Approval,1,,
9037,6/24/2019 7:30,no review,Centennial,80122,Living Room Ceiling,2105,2105,0,2105,,approved,1,2,
9058-1,4/16/2019 10:30,,Englewood,80111,Exterior Residential Painting - Exterior Preparation,6960,5615,1345,6960,My Website,approved,1,,
9061,4/22/2019 9:00,,DENVER,80238,Exterior Residential Painting - Exterior Preparation,7130,5825,1305,7130,My Website,pro approved,1,,
9127,6/19/2019 9:00,,Centennial,80016,Fence-Cleaning,1395,1115,280,1395,,SCHEDULED,1,,
9056,4/15/2019 10:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4975,3850,1125,4975,My Website,approved,1,,
9059,4/18/2019 17:00,,Arvada,80403,Basement,1580,1400,180,1580,My Website,pro declined,1,,
9044-2,4/11/2019 14:30,,Denver,80238,Kitchen Cabinets,3780,3340,440,3780,,pro declined,1,,
9046,,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5450,4465,985,5450,,pro declined,1,,
9047,,Stapleton,Denver,80238,Interior Painting,3405,2940,465,3405,,Awaiting Approval,1,,
9079,4/24/2019 9:30,,Aurora,80013,Exterior Residential Painting - Exterior Preparation,5365,4220,1145,5365,My Website,Awaiting Approval,1,,
9050,,,Castle Pines,80108,Pergola,1968,1588,380,1968,,pro declined,1,,
9051,,,Castle Pines,80108,Interior Walls,7260,6155,1105,7260,,pro declined,1,,
9060-1,4/18/2019 8:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4040,3295,745,4040,My Website,Awaiting Approval,1,,
9064,4/19/2019 13:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,7445,5830,1615,7445,My Website,approved,1,,
9052,4/18/2019 13:30,Stapleton,Denver,80238,Seal fence and gate,2205,1790,415,2205,,approved,1,,
9065,4/19/2019 14:30,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,5995,4795,1200,5995,My Website,approved,1,,
9053-1,4/18/2019 11:00,Stapleton,Aurora,80010,Staining Deck,950,885,65,950,,declined,1,,
9062-1,4/19/2019 8:30,"no review,noreview",Aurora,80016,Exterior Residential Painting - Exterior Preparation,5990,4640,1350,5990,My Website,approved,1,,
9071,4/19/2019 9:30,,Aurora,80016,Shutters,3115,2590,525,3115,My Website,approved,1,,
9069,4/22/2019 9:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5420,4225,1195,5420,My Website,Awaiting Approval,1,,
9068,4/22/2019 8:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,3985,3100,885,3985,My Website,approved,1,,
9078,4/23/2019 14:30,repeat customer,Aurora,80015,Exterior Residential Painting - Exterior Preparation,5605,4505,1100,5605,"My Website,Exterior",Awaiting Approval,1,,
9077,4/23/2019 13:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,7055,5730,1325,7055,My Website,approved,1,,
9058-2,4/16/2019 10:30,,Englewood,80111,Master Restroom,425,315,110,425,,approved,1,,
9060-2,4/18/2019 8:30,,Aurora,80016,Kitchen Cabinets,5155,4575,580,5155,,Awaiting Approval,1,,
9070,4/22/2019 11:30,,AURORA,80016,Interior Paintging-Walls,8330,7230,1100,8330,My Website,pro declined,1,,
9053-2,4/18/2019 11:00,Stapleton,Aurora,80010,Deck Staining,1655,1365,290,1655,,declined,1,,
9062-2,4/19/2019 8:30,"no review,noreview",Aurora,80016,Back Deck Railings and Spindles,995,820,175,995,,pro approved,1,,
9081,4/25/2019 11:30,,Lone Tree,80124,Exterior Residential Painting - Exterior Preparation,6480,5330,1150,6480,My Website,pro declined,1,,
9066,,,Lakewood,80228,Exterior Residential Painting - Exterior Preparation,3980,3115,865,3980,,approved,1,,
9067,,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,3970,3145,825,3970,,pro declined,1,,
9082-1,4/25/2019 17:00,,Parker,80134,Exterior Residential Painting - Exterior Preparation,6050,5015,1035,6050,My Website,approved,1,,
9080,4/25/2019 10:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,5640,4520,1120,5640,My Website,Awaiting Approval,1,,
9083,4/26/2019 11:30,,Lakewood,80214,Interior Paint,9740,8405,1335,9740,My Website,pro declined,1,,
9085,4/26/2019 9:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4385,3455,930,4385,My Website,pro approved,1,,
9074,,,Denver,80238,Basement,1050,885,165,1050,,pro declined,1,,
9086,4/26/2019 10:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,4775,3755,1020,4775,My Website,pro approved,1,,
9093,5/1/2019 12:30,no review,Parker,80134,Exterior Residential Painting - Exterior Preparation,4695,3770,925,4695,My Website,pro approved,1,,
9075,,,,,Front Upper Stucco,1790,1365,425,1790,,UNSCHEDULED,1,,
9087-1,4/29/2019 9:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4875,3705,1170,4875,My Website,pro approved,1,,
9101,4/29/2019 14:30,,Denver,80238,Fencing and Trellis,1155,790,365,1155,My Website,SCHEDULED,1,,
9089,4/30/2019 17:00,,Aurora,80018,Exterior Residential Painting - Exterior Preparation,4335,3625,710,4335,My Website,approved,1,,
9132,5/14/2019 14:30,,Denver,80238,Front Porch,3400,2930,470,3400,My Website,pro declined,1,,
9098,5/2/2019 8:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,5820,4750,1070,5820,My Website,pro declined,1,,
9076,4/29/2019 11:30,,Centennial,80122,Exterior Residential Painting - Exterior Preparation,4995,4220,775,4995,,Awaiting Approval,1,,
9090,4/29/2019 10:30,,Denver,80218,Exterior Residential Painting - Exterior Preparation,3465,3055,410,3465,My Website,Awaiting Approval,1,,
9100,5/3/2019 14:30,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,3950,3075,875,3950,My Website,approved,1,,
9091,4/29/2019 12:30,,AURORA,80016,Exterior Residential Painting - Exterior Preparation,4460,3750,710,4460,My Website,approved,1,,
9082-2,4/25/2019 17:00,,Parker,80134,"Gutters- 5""",1800,1800,0,1800,,approved,1,,
9096,5/3/2019 9:30,,Denver,80207,Exterior Residential Painting - Exterior Preparation,5235,4290,945,5235,My Website,pro declined,1,,
9110,5/9/2019 12:30,,Aurora,80014,Exterior Residential Painting - Exterior Preparation,8380,7140,1240,8380,My Website,pro approved,1,,
9084,,,Centennial,80112,Entry and Kitchen Ceiling,6615,6615,0,6615,,Awaiting Approval,1,,
9087-2,4/29/2019 9:30,,Denver,80238,Pergola,1280,915,365,1280,,pro approved,1,,
9094,5/2/2019 9:30,,Aurora ,80015,Exterior Residential Painting - Exterior Preparation,4860,4115,745,4860,My Website,approved,1,,
9095-1,5/2/2019 9:30,,Lakewood,80215,Studio Ceiling,8485,7240,1245,8485,My Website,Awaiting Approval,1,,
9103,5/3/2019 15:30,,Aurora,80016,Interior Paint-Main Level,5865,5180,685,5865,My Website,pro declined,1,,
9088,,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4285,3540,745,4285,,Awaiting Approval,1,,
9126,5/3/2019 13:30,,Denver,80238,Fence Staining,1130,885,245,1130,My Website,SCHEDULED,1,,
9097,5/3/2019 11:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,5540,4390,1150,5540,My Website,approved,1,,
9104,5/7/2019 17:00,,Centennial,80122,Interior Painting,4545,3880,665,4545,My Website,pro declined,1,,
9102,5/7/2019 8:00,,Centennial,80121,kitchen and family room,2555,2555,0,2555,,pro approved,1,2,
9095-2,5/2/2019 9:30,,Lakewood,80215,Exterior Residential Painting - Exterior Preparation,5875,4725,1150,5875,,Awaiting Approval,1,,
9111-1,5/13/2019 15:30,,Aurora,80013,Exterior Residential Painting - Exterior Preparation,4455,3670,785,4455,My Website,Awaiting Approval,1,,
9125,5/13/2019 11:30,,Denver,80238,Kitchen and Breezeway Built Ins,7675,7390,285,7675,My Website,SCHEDULED,1,,
9112-1,5/13/2019 15:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5140,3995,1145,5140,My Website,approved,1,,
9105,,,Aurora,80014,Exterior Residential Painting - Exterior Preparation,4375,3595,780,4375,,declined,1,,
9106-1,,,Denver,80238,Exterior Trim,7320,7135,185,7320,,approved,1,,
9107,,,Parker,80134,bedroom,4800,4180,620,4800,,pro declined,1,,
9108,,,Arvada,80403,Office Cabinets Upper,2750,2490,260,2750,,declined,1,,
9109,,,Greenwood Village,80111,Stucco Repairs,600,600,0,600,,approved,1,,
9118,5/16/2019 15:30,,Aurora,80018,Kitchen Cabinets,9775,9775,0,9775,My Website,approved,1,,
9117,5/16/2019 10:30,,DENVER,80238,Kids Rooms,1980,1335,645,1980,My Website,declined,1,,
9123,5/21/2019 15:30,,Denver,80238,Interior Paint - Walls 2 Coats,8050,7135,915,8050,My Website,approved,1,,
9115,5/15/2019 12:30,,Aurora,80013,Exterior Residential Painting - Exterior Preparation,3685,2965,720,3685,My Website,Awaiting Approval,1,,
9111-2,5/13/2019 15:30,,Aurora,80013,Decking,2460,1865,595,2460,,Awaiting Approval,1,,
9112-2,5/13/2019 15:30,,Denver,80238,Fence,1115,830,285,1115,,Awaiting Approval,1,,
9119,5/17/2019 11:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5910,5405,1305,6710,My Website,approved,1,,
9113,5/16/2019 12:00,repeat customer,Denver,80238,"Trim, Soffits, Doors and Gutters",8360,6915,1445,8360,,approved,1,,
9131,5/21/2019 13:30,,Lakewood,80228,Stairway Drywall Repair,5353,4788,565,5353,My Website,pro declined,1,,
9120,5/20/2019 9:30,,Highlands ranch ,80130,Interior Walls,8711,7761,950,8711,My Website,pro declined,1,,
9121,5/20/2019 15:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5360,4290,1070,5360,My Website,approved,1,,
9116,5/22/2019 17:00,,,,Exterior Quote,0,0,0,0,,SCHEDULED,1,,
9129,5/22/2019 11:30,80238,Denver,80238,Exterior Residential Painting - Exterior Preparation,4810,3745,1065,4810,My Website,approved,1,,
9140,5/31/2019 8:00,,Castle Rock,80108,Exterior Residential Painting - Exterior Preparation,4500,3550,950,4500,My Website,approved,1,,
9128,5/22/2019 9:30,,Arvada,80005,Interior Painting - 2 Coats,4995,4350,645,4995,My Website,pro declined,1,,
9122,,,Centennial,80015,Interior Paint,1050,885,165,1050,,Awaiting Approval,1,,
9124,,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5870,4765,1105,5870,,pro declined,1,,
9130,,,,,Exterior Residential Painting - Exterior Preparation,3965,3225,740,3965,,Awaiting Approval,1,,
9133,5/28/2019 8:30,no review,Aurora,80016,Columns and front railings,515,515,0,515,,approved,1,,
9146,5/29/2019 17:00,,Aurora,80018,Exterior Residential Painting - Exterior Preparation,4545,3575,970,4545,My Website,SCHEDULED,1,,
9134,,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5885,4465,1420,5885,,approved,1,,
9141,5/31/2019 9:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5380,4285,1095,5380,My Website,Awaiting Approval,1,,
9139,5/31/2019 9:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5210,4025,1185,5210,My Website,Awaiting Approval,1,,
9143-1,5/31/2019 9:30,,Aurora,80010,Exterior Residential Painting - Exterior Preparation,4855,3725,1130,4855,My Website,Awaiting Approval,1,,
9135,,,Littleton,80123,Exterior Residential Painting - Exterior Preparation,3475,2730,745,3475,,approved,1,,
9142,6/3/2019 10:30,,Englewood,80112,Exterior Residential Painting - Exterior Preparation,3980,3055,925,3980,My Website,approved,1,,
9136,,,Northglenn,80233,Kiwanis Park - 1 Pavilion,21340,19360,1980,21340,,pro declined,1,,
9137,,,Aurora,80016,Kitchen Cabinets,5295,4910,385,5295,,pro declined,1,,
9138,,,,,Exterior Residential Painting - Exterior Preparation,5560,4615,945,5560,,Awaiting Approval,1,,
9145,6/4/2019 17:00,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,4235,3235,1000,4235,My Website,pro declined,1,,
9150,6/7/2019 9:30,,Denver,80238,Stairway ,1205,1205,0,1205,My Website,Awaiting Approval,1,,
9149,6/6/2019 13:30,,Commerce City,80022,Interior Painting - Walls ,2440,1925,515,2440,My Website,SCHEDULED,1,,
9143-2,5/31/2019 9:30,,Aurora,80010,Main Level Walls-2 Coats,10455,10455,0,10455,,Awaiting Approval,1,,
9151,6/7/2019 9:30,,Denver,80238,Drywall Repair,365,365,0,365,My Website,approved,1,,
9154-1,6/7/2019 8:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5240,4115,1125,5240,My Website,Awaiting Approval,1,,
9144,6/6/2019 9:00,,Centennial,80015,Family Room,990,745,245,990,,approved,1,,
9147,6/5/2019 10:30,,Aurora,80013,Exterior Residential Painting - Exterior Preparation,4990,3965,1025,4990,,Awaiting Approval,1,,
